,Annotator,Paper,Cited-by,Follow-up,Citation,Context,Cleaned_context
11,A,C00-1072,C08-1124,1,"(Lin and Hovy, 2000)","They observed that sentences located at the document head most likely contained important information. Recently, content features were also well studied, including centroid (Radev et al., 2004), signature terms (Lin and Hovy, 2000) and high frequency words (Nenkova e t al., 2006). Radev et al. (2004) defined centroid words as those whose average tf*idf score were higher than a threshold.",They observed that sentences located at the document head most likely contained important information Recently content features were also well studied including centroid signature terms and high frequency words defined centroid words as those whose average score were higher than threshold
12,A,C00-1072,D08-1080,0,"(Lin & Hovy, 2000; Harabagiu, 2004)","Amini & Usunier (2007) use the documents to be summarized themselves to cluster terms, and thus expanding the query “internally”. More advanced methods for query expansion use “topic signatures” – words and grammatically related pairs of words that model the query and even the expected answer from sets of documents marked as relevant or not (Lin & Hovy, 2000; Harabagiu, 2004). Graph-based methods for text summarization work usually at the level of sentences (Erkan & Radev, 2004; Mihalcea & Tarau, 2004).",use the documents to be summarized themselves to cluster terms and thus expanding the query internally More advanced methods for query expansion use topic signatures words and grammatically related pairs of words that model the query and even the expected answer from sets of documents marked as relevant or not Graph based methods for text summarization work usually at the level of sentences
13,A,C00-1072,D09-1032,1,"(Lin, 2004; Lin and Hovy, 2003)","The best feature, JensenShannon divergence, leads to a correlation as high as 0.88 with manual pyramid and 0.73 with responsiveness evaluations. The most commonly used evaluation method for summarization during system development and for reporting results in publications is the automatic evaluation metric ROUGE (Lin, 2004; Lin and Hovy, 2003). ROUGE compares system summaries against one or more model summaries by computing n-gram word overlaps between the two.",The best feature divergence leads to correlation as high as with manual pyramid and with responsiveness evaluations The most commonly used evaluation method for summarization during system development and for reporting results in publications is the automatic evaluation metric compares system summaries against or more model summaries by computing gram word overlaps between the
14,A,C00-1072,E09-1062,0,"(Lin and Hovy, 2000; Conroy et al., 2006)","Information-theoretic measures Entropy of the input word distribution and KL divergence between the input and a large document collection. 1Evaluations from later years did not include generic summarization, but introduced new tasks such as topic-focused and update summarization. Log-likelihood ratio for words in the input Number of topic signature words (Lin and Hovy, 2000; Conroy et al., 2006) and percentage of signature words in the vocabulary. Document similarity in the input set These features apply to multi-document summarization only.",Information theoretic measures Entropy of the input word distribution and divergence between the input and large document collection from later years did not include generic summarization but introduced new tasks such as topic focused and update summarization likelihood ratio for words in the input Number of topic signature words and percentage of signature words in the vocabulary Document similarity in the input set These features apply to multi document summarization only
15,A,C00-1072,I08-1016,0,"(Lin and Hovy, 2002; Schiffman et al., 2002; Erkan and Radev, 2004; Mihalcea and Tarau, 2004; Daumé III and Marcu, 2006)","Two of the key components of effective summarizations are the ability to identify important points in the text and to adequately reword the original text in order to convey these points. Automatic text summarization approaches have offered reasonably well-performing approximations for identifiying important sentences (Lin and Hovy, 2002; Schiffman et al., 2002; Erkan and Radev, 2004; Mihalcea and Tarau, 2004; Daumé III and Marcu, 2006) but, not surprisingly, text (re)generation has been a major challange despite some work on sub-sentential modification (Jing and McKeown, 2000; Knight and Marcu, 2000; Barzilay and McKeown, 2005). An additional drawback of extractive approaches is that estimates for the importance of larger text units such as sentences depend on the length of the sentence (Nenkova et al., 2006).",of the key components of effective summarizations are the ability to identify important points in the text and to adequately reword the original text in order to convey these points text summarization approaches have offered reasonably well performing approximations for identifiying important sentences but not surprisingly text generation has been major challange despite some work on sub sentential modification additional drawback of extractive approaches is that estimates for the importance of larger text units such as sentences depend on the length of the sentence
16,A,C00-1072,J10-1003,0,(Lin and Hovy 2000; Marcu 2000),"To give the reader an idea of variability of the answers, Table 4 reports standard deviation from the mean. continuous in nature: the quality of a summary. That is why we interpret the level of agreement as sufficient for the purpose of evaluating the quality of the summaries. 6.3 Comparing the Machine-Made Summaries and the Manually Created Extracts Measuring sentence co-selection between extractive summaries created by humans and those created by automatic summarizers has a long tradition in the text summarization community (Lin and Hovy 2000; Marcu 2000), but this family of measures has a number of well-known shortcomings. As many have remarked on previous occasions (Mani 2001; Radev et al. 2003), co-selection measures do not provide a complete assessment of the quality of a summary.",give the reader an idea of variability of the answers Table reports standard deviation from the mean continuous in nature the quality of summary That is why we interpret the level of agreement as sufficient for the purpose of evaluating the quality of the summaries Comparing the Machine Made Summaries and the Manually Created Extracts Measuring sentence co selection between extractive summaries created by humans and those created by automatic summarizers has long tradition in the text summarization community but this family of measures has number of well known shortcomings many have remarked on previous occasions co selection measures do not provide complete assessment of the quality of summary
17,A,C00-1072,J11-1001,0,(Lin and Hovy 2000),"In TAC 2008, ROUGE was used for automatic evaluation. ROUGE (Lin and Hovy 2000) compares any summary to any other (typically human-generated) summary using a recall-oriented approach. ROUGE-1 and -2 are based on unigrams and bigrams, respectively; ROUGE-SU4 uses bigrams with a maximum skip distance of 4 between bigrams; ROUGE-BE (Hovy, Lin, and Zhou 2005) is an n-gram approach based on basic elements, computed via parsing or automatic entity recognition.",was used for automatic evaluation compares any summary to any other summary using recall oriented approach and are based on and respectively uses with maximum skip distance of between is an gram approach based on basic elements computed via parsing or automatic entity recognition
18,A,C00-1072,P02-1058,2,(Lin and Hovy 2000),"Figure 1 shows the top 5 concepts with their relevancy scores (-2λ) for the topic “Slovenia Secession from Yugoslavia” in the DUC-2001 test collection. This is similar to the idea of topic signature introduced in (Lin and Hovy 2000). With the individual key concepts available, we proceed to cluster these concepts in order to identify major subtopics within the main topic.",Figure shows the top concepts with their relevancy scores for the topic Slovenia Secession from in the test collection This is similar to the idea of topic signature introduced in With the individual key concepts available we proceed to cluster these concepts in order to identify major subtopics within the main topic
19,A,C00-1072,P05-1026,0,"(Lin and Hovy, 2000)","In order to model this structure, the topic representation that we create considers separate topic signatures for each sub-topic. The notion of topic signatures was first introduced in (Lin and Hovy, 2000). For each subtopic in a scenario, given (a) documents relevant to the sub-topic and (b) documents not relevant to the subtopic, a statistical method based on the likelihood ratio is used to discover a weighted list of the most topic-specific concepts, known as the topic signature.",order to model this structure the topic representation that we create considers separate topic signatures for each sub topic The notion of topic signatures was first introduced in For each subtopic in scenario given documents relevant to the sub topic and documents not relevant to the subtopic statistical method based on the likelihood ratio is used to discover weighted list of the most topic specific concepts known as the topic signature
20,A,C00-1072,P06-1015,0,(Lin and Hovy 2000),"With seemingly endless amounts of textual data at our disposal, we have a tremendous opportunity to automatically grow semantic term banks and ontological resources. To date, researchers have harvested, with varying success, several resources, including concept lists (Lin and Pantel 2002), topic signatures (Lin and Hovy 2000), facts (Etzioni et al. 2005), and word similarity lists (Hindle 1990). Many recent efforts have also focused on extracting semantic relations between entities, such as entailments (Szpektor et al. 2004), is-a (Ravichandran and Hovy 2002), part-of (Girju et al. 2006), and other relations.",With seemingly endless amounts of textual data at our disposal we have tremendous opportunity to automatically grow semantic term banks and ontological resources date researchers have harvested with varying success several resources including concept lists topic signatures facts and word similarity lists Many recent efforts have also focused on extracting semantic relations between entities such as entailments is part of and other relations
21,A,C00-1072,P06-4007,0,"(Lin and Hovy, 2000)","First introduced in (Harabagiu et al., 2005b), a predictive questioning approach to automatic question-answering assumes that Q/A systems can use the set of documents relevant to a user’s query in order to generate sets of questions – known as predictive questions – that anticipate a user’s information needs. Under this approach, topic representations like those introduced in (Lin and Hovy, 2000) and (Harabagiu, 2004) are used to identify a set of text passages that are relevant to a user’s domain of interest. Topic-relevant passages are then semantically parsed (using a PropBank-style semantic parser) and submitted to a question generation module, which uses a set of syntactic rewrite rules in order to create natural language questions from the original passage.",introduced in predictive questioning approach to automatic question answering assumes that systems can use the set of documents relevant to user query in order to generate sets of questions known as predictive questions that anticipate user information needs Under this approach topic representations like those introduced in and are used to identify set of text passages that are relevant to user domain of interest Topic relevant passages are then semantically parsed and submitted to question generation module which uses set of syntactic rewrite rules in order to create natural language questions from the original passage
22,A,C00-1072,P07-1070,0,"(Hovy and Lin, 1997; Lin and Hovy, 2000)","Extraction-based methods usually assign a saliency score to each sentence and then rank the sentences in the document. The scores are usually computed based on a combination of statistical and linguistic features, including term frequency, sentence position, cue words, stigma words, topic signature (Hovy and Lin, 1997; Lin and Hovy, 2000), etc. Machine learning methods have also been employed to extract sentences, including unsupervised methods (Nomoto and Matsumoto, 2001) and supervised methods (Kupiec et al., 1995; Conroy and O’Leary, 2001; Amini and Gallinari, 2002; Shen et al., 2007).",Extraction based methods usually assign saliency score to each sentence and then rank the sentences in the document The scores are usually computed based on combination of statistical and linguistic features including term frequency sentence position cue words stigma words topic signature etc Machine learning methods have also been employed to extract sentences including unsupervised methods and supervised methods
23,A,C00-1072,P08-1090,0,"(Lin and Hovy, 2000)","While previous work hasn’t focused specifically on learning narratives1, our work draws from two lines of research in summarization and anaphora resolution. In summarization, topic signatures are a set of terms indicative of a topic (Lin and Hovy, 2000). They are extracted from hand-sorted (by topic) sets of documents using log-likelihood ratios.",While previous work hasn focused specifically on learning our work draws from lines of research in summarization and anaphora resolution summarization topic signatures are set of terms indicative of topic They are extracted from hand sorted sets of documents using log likelihood ratios
24,A,C00-1072,P08-1092,0,"(Lin and Hovy, 2003)","Finally, we run our reference rewriting component on each and trim the output to 665 bytes. We evaluate first using the ROUGE-L metric (Lin and Hovy, 2003) with a 95% (ROUGE computed) confidence interval for all systems and compared these to the ROUGE-L score of the best-performing DUC2004 system.5 The higher the ROUGE score, the closer the summary is to the DUC2004 human reference summaries. As shown in Figure 1, our best performing system is the multinomial naı̈ve Bayes classifier (MNB) using the classifier confidence scores to order the sentences in the biography.",Finally we run our reference rewriting component on each and trim the output to bytes evaluate using the metric with confidence interval for all systems and compared these to the score of the best performing The higher the score the closer the summary is to the human reference summaries shown in Figure our best performing system is the multinomial classifier using the classifier confidence scores to order the sentences in the biography
25,A,C00-1072,P09-1023,0,"(Lin and Hovy, 2000)","The outline of a wiki article using inner links will render the structure of its definition. In addition, infobox could be considered as topic signature (Lin and Hovy, 2000) or keywords about the topic. Since keywords and summary of a document can be mutually boosted (Wan et al., 2007), infobox is capable of summarization instruction.",The outline of wiki article using inner links will render the structure of its definition addition infobox could be considered as topic signature or keywords about the topic Since keywords and summary of document can be mutually boosted infobox is capable of summarization instruction
26,A,C00-1072,P10-1094,0,"(Luhn 1969; Lin and Hovy, 2000)","Extractionbased summarization methods usually assign each sentence a saliency score and then rank the sentences in a document or document set. For single document summarization, the sentence score is usually computed by empirical combination of a number of statistical and linguistic feature values, such as term frequency, sentence position, cue words, stigma words, topic signature (Luhn 1969; Lin and Hovy, 2000). The summary sentences can also be selected by using machine learning methods (Kupiec et al., 1995; Amini and Gallinari, 2002) or graph-based methods (ErKan and Radev, 2004; Mihalcea and Tarau, 2004).",Extractionbased summarization methods usually assign each sentence saliency score and then rank the sentences in document or document set For single document summarization the sentence score is usually computed by empirical combination of number of statistical and linguistic feature values such as term frequency sentence position cue words stigma words topic signature The summary sentences can also be selected by using machine learning methods or graph based methods
27,A,C00-1072,P11-1155,0,"(Luhn 1969; Lin and Hovy, 2000)","We focus on extraction-based methods in this study, and the methods directly extract summary sentences from a document or document set by ranking the sentences in the document or document set. In the task of single document summarization, various features have been investigated for ranking sentences in a document, including term frequency, sentence position, cue words, stigma words, and topic signature (Luhn 1969; Lin and Hovy, 2000). Machine learning techniques have been used for sentence ranking (Kupiec et al., 1995; Amini and Gallinari, 2002).",focus on extraction based methods in this study and the methods directly extract summary sentences from document or document set by ranking the sentences in the document or document set the task of single document summarization various features have been investigated for ranking sentences in document including term frequency sentence position cue words stigma words and topic signature Machine learning techniques have been used for sentence ranking
28,A,C02-1025,C10-2104,0,"(Chieu and Ng, 2002)","For example, a word like “Arkansas” may not appear in the training set and in the test set, there may not be enough context to infer its NE tag. In such cases, neither global features (Chieu and Ng, 2002) nor aggregated contexts (Chieu and Ng, 2003) can help. To overcome this deficiency, we employed the following unsupervised procedure: first, the baseline NER is applied to the target un-annotated corpus.",For example word like may not appear in the training set and in the test set there may not be enough context to infer its tag such cases neither global features nor aggregated contexts can help overcome this deficiency we employed the following unsupervised procedure the baseline is applied to the target annotated corpus
29,A,C02-1025,P03-1028,3,"(Soderland, 1999; Ciravegna, 2001; Chieu and Ng, 2002a)","IE from semi-structured texts is easier than from free texts, since the layout and format of a semi-structured text provide additional useful clues to aid in extraction. Several benchmark data sets have been used to evaluate IE approaches on semistructured texts (Soderland, 1999; Ciravegna, 2001; Chieu and Ng, 2002a). For the task of extracting information from free texts, a series of Message Understanding Conferences (MUC) provided benchmark data sets for evaluation.",from semi structured texts is easier than from free texts since the layout and format of semi structured text provide additional useful clues to aid in extraction Several benchmark data sets have been used to evaluate approaches on semistructured texts For the task of extracting information from free texts series of Message Understanding Conferences provided benchmark data sets for evaluation
30,A,C02-1025,P05-1045,0,Chieu and Ng (2002),"This approach is quite effective for enforcing label consistency in many NLP tasks, however, it permits a forward flow of information only, which is not sufficient for all cases of interest. Chieu and Ng (2002) propose a solution to this problem: for each token, they define additional features taken from other occurrences of the same token in the document. This approach has the added advantage of allowing the training procedure to automatically learn good weightings for these “global” features relative to the local ones.",This approach is quite effective for enforcing label consistency in many tasks however it permits forward flow of information only which is not sufficient for all cases of interest propose solution to this problem for each token they define additional features taken from other occurrences of the same token in the document This approach has the added advantage of allowing the training procedure to automatically learn good weightings for these global features relative to the local ones
31,A,C02-1025,P05-1051,0,"(Chieu and Ng, 2002)","People have spent considerable effort in engineering appropriate features to improve performance; most of these involve internal name structure or the immediate local context of the name. Some other named entity systems have explored global information for name tagging. (Borthwick, 1999) made a second tagging pass which uses information on token sequences tagged in the first pass; (Chieu and Ng, 2002) used as features information about features assigned to other instances of the same token. Recently, in (Ji and Grishman, 2004) we proposed a name tagging method which applied an SVM based on coreference information to filter the names with low confidence, and used coreference rules to correct and recover some names.",People have spent considerable effort in engineering appropriate features to improve performance most of these involve internal name structure or the immediate local context of the name Some other named entity systems have explored global information for name tagging made tagging pass which uses information on token sequences tagged in the pass used as features information about features assigned to other instances of the same token Recently in we proposed name tagging method which applied an based on coreference information to filter the names with low confidence and used coreference rules to correct and recover some names
32,A,C02-1025,P06-1141,1,"(Finkel et al., 2005; Chieu and Ng, 2002; Sutton and McCallum, 2004; Bunescu and Mooney, 2004)","We use this intuition to approximate the aggregate information about labels assigned to other occurrences of the entity by the nonlocal model, with the aggregate information about labels assigned to other occurrences of the entity by the sequence model. This intuition enables us to learn weights for non-local dependencies in two stages; we first get predictions from a regular sequential CRF and in turn use aggregate information about predictions made by the CRF as extra features to train a second CRF. • Most work has looked to model non-local dependencies only within a document (Finkel et al., 2005; Chieu and Ng, 2002; Sutton and McCallum, 2004; Bunescu and Mooney, 2004). Our model can capture the weaker but still important consistency constraints across the whole document collection, whereas previous work has not, for reasons of tractability.",use this intuition to approximate the aggregate information about labels assigned to other occurrences of the entity by the nonlocal model with the aggregate information about labels assigned to other occurrences of the entity by the sequence model This intuition enables us to learn weights for non local dependencies in stages we get predictions from regular sequential and in turn use aggregate information about predictions made by the as extra features to train Most work has looked to model non local dependencies only within document Our model can capture the weaker but still important consistency constraints across the whole document collection whereas previous work has not for reasons of tractability
33,A,H05-1079,C08-1028,0,Bos and Markert (2005),"Of these, CCG has received the most zealous computational attention. Impressive results have been achieved culminating in the state-of-the-art parser of Clark and Curran (2004) which has been used as the parser for the Pascal Rich Textual Entailment Challenge entry of Bos and Markert (2005). The appeal of CCG can be attributed to the existence of efficient parsing algorithms for it and the fact that it recognizes a mildly context-sensitive language class (Joshi et al., 1989), a language class more powerful than the context free languages (CFLs) that has been argued to be necessary for natural language syntax.",these has received the most zealous computational attention results have been achieved culminating in the state of the art parser of which has been used as the parser for the Pascal Rich Textual Entailment Challenge entry of The appeal of can be attributed to the existence of efficient parsing algorithms for it and the fact that it recognizes mildly context sensitive language class language class more powerful than the context free languages that has been argued to be necessary for natural language syntax
34,A,H05-1079,C08-2001,0,"(Zaenen et al., 2005; Bos, 2008)","However, the RTE evaluation framework has the disadvantage of being a “blackbox” type of evaluation. It makes very difficult to isolate the semantic task from the task of retrieving the necessary background knowledge (Zaenen et al., 2005; Bos, 2008). Furthermore, it is not designed to measure performance on specific semantic phenomena, and it is therefore difficult to know why a system is working correctly or incorrectly.",However the evaluation framework has the disadvantage of being blackbox type of evaluation makes very difficult to isolate the semantic task from the task of retrieving the necessary background knowledge Furthermore it is not designed to measure performance on specific semantic phenomena and it is therefore difficult to know why system is working correctly or incorrectly
35,A,H05-1079,D10-1074,0,"(Tatu and Moldovan, 2005; Bos and Markert, 2005; Raina et al., 2005)","There is a large body of work on textual entailment initiated by the Pascal Recognizing Textual Entailment (RTE) Challenges (Dagan et al., 2005; Bar-Haim et al., 2006; Giampiccolo et al., 2007; Giampiccolo et al., 2008; Bentivogli et al., 2009). Different approaches have been developed, for example, based on logic proving (Tatu and Moldovan, 2005; Bos and Markert, 2005; Raina et al., 2005) and graph match (Haghighi et al., 2005; de Salvo Braz et al., 2005; MacCartney et al., 2006). Supervised learning approaches have also been applied to measure the similarities between training and testing pairs (Zanzotto and Moschitti, 2006).",There is large body of work on textual entailment initiated by the Pascal Recognizing Textual Entailment Challenges Different approaches have been developed for example based on logic proving and graph match Supervised learning approaches have also been applied to measure the similarities between training and testing pairs
36,A,H05-1079,J07-3004,0,Bos (2005),"In this article and in CCGbank, we approximate such semantic interpretations with dependency graphs that include most semantically relevant non-anaphoric local and long-range dependencies. Although certain decisions taken by the builders of the original Penn Treebank mean that the syntactic derivations that can be obtained from the Penn Treebank are not always semantically correct (as we will discuss), subsequent work by Bos et al. (2004) and Bos (2005) has demonstrated that the output of parsers trained on CCGbank can also be directly translated into logical forms such as Discourse Representation Theory structures (Kamp and Reyle 1993), which can then be used as input to a theorem prover in applications like question answering and textual entailment recognition. Translating the Treebank into this more demanding formalism has revealed certain sources of noise and inconsistency in the original annotation that have had to be corrected in order to permit induction of a linguistically correct grammar.",this article and in we approximate such semantic interpretations with dependency graphs that include most semantically relevant non anaphoric local and long range dependencies Although certain decisions taken by the builders of the original Penn mean that the syntactic derivations that can be obtained from the Penn are not always semantically correct subsequent work by and has demonstrated that the output of parsers trained on can also be directly translated into logical forms such as Discourse Representation Theory structures which can then be used as input to theorem prover in applications like question answering and textual entailment recognition Translating the into this more demanding formalism has revealed certain sources of noise and inconsistency in the original annotation that have had to be corrected in order to permit induction of linguistically correct grammar
37,A,H05-1079,N06-1005,2,"(Bos and Markert, 2005)","The motivation for this formulation was to isolate and evaluate the application-independent component of semantic inference shared across many application areas, reflected in the division of the PASCAL RTE dataset into seven distinct tasks: Information Extraction (IE), Comparable Documents (CD), Reading Comprehension (RC), Machine Translation (MT), Information Retrieval (IR), Question Answering (QA), and Paraphrase Acquisition (PP). 1 The examples given throughout this paper are from the first PASCAL RTE dataset, described in Section 6. The RTE problem as presented in the PASCAL RTE dataset is particularly attractive in that it is a reasonably simple task for human annotators with high inter-annotator agreement (95.1% in one independent labeling (Bos and Markert, 2005)), but an extremely challenging task for automated systems. The highest accuracy systems on the RTE test set are still much closer in performance to a random baseline accuracy of 50% than to the inter-annotator agreement.",The motivation for this formulation was to isolate and evaluate the application independent component of semantic inference shared across many application areas reflected in the division of the dataset into distinct tasks Information Extraction Comparable Documents Reading Comprehension Machine Translation Information Retrieval Question Answering and Paraphrase Acquisition The examples given throughout this paper are from the dataset described in Section The problem as presented in the dataset is particularly attractive in that it is reasonably simple task for human annotators with high inter annotator agreement but an extremely challenging task for automated systems The highest accuracy systems on the test set are still much closer in performance to random baseline accuracy of than to the inter annotator agreement
38,A,H05-1079,N06-1006,1,"(Akhmatova, 2005; Fowler et al., 2005; Bos and Markert, 2005)","Then the theorem prover may generate intermediate forms in the proof, but, nevertheless, individual terms are resolved locally without reference to global context. Finally, a few efforts (Akhmatova, 2005; Fowler et al., 2005; Bos and Markert, 2005) have tried to translate sentences into formulas of first-order logic, in order to test logical entailment with a theorem prover. While in principle this approach does not suffer from the limitations we describe below, in practice it has not borne much fruit.",Then the theorem prover may generate intermediate forms in the proof but nevertheless individual terms are resolved locally without reference to global context Finally few efforts have tried to translate sentences into formulas of order logic in order to test logical entailment with theorem prover While in principle this approach does not suffer from the limitations we describe below in practice it has not borne much fruit
39,A,H05-1079,N10-1146,0,"(Tatu and Moldovan, 2005; Bos and Markert, 2005; Roth and Sammons, 2007)","Recognizing Textual Entailment (RTE) is rather challenging as effectively modeling syntactic and semantic for this task is difficult. Early deep semantic models (e.g., (Norvig, 1987)) as well as more recent ones (e.g., (Tatu and Moldovan, 2005; Bos and Markert, 2005; Roth and Sammons, 2007)) rely on specific world knowledge encoded in rules for drawing decisions. Shallower models exploit matching methods between syntactic/semantic graphs of texts and hypotheses (Haghighi et al., 2005).",Recognizing Textual Entailment is rather challenging as effectively modeling syntactic and semantic for this task is difficult Early deep semantic models as well as more recent ones rely on specific world knowledge encoded in rules for drawing decisions Shallower models exploit matching methods between graphs of texts and hypotheses
